
0it [00:00, ?it/s]
562it [07:55,  1.50it/s, bound:0 nc:  4 ncall:1.6e+03 eff:35.4% logz-ratio=144.45+/-0.05 dlogz:1.012>0.1]
565it [07:58,  1.44it/s, bound:0 nc: 11 ncall:1.6e+03 eff:35.2% logz-ratio=144.46+/-0.05 dlogz:1.005>0.1]
568it [07:59,  1.67it/s, bound:0 nc:  2 ncall:1.6e+03 eff:35.2% logz-ratio=144.46+/-0.05 dlogz:0.998>0.1]
572it [08:00,  1.98it/s, bound:0 nc:  8 ncall:1.6e+03 eff:35.2% logz-ratio=144.47+/-0.05 dlogz:0.988>0.1]
575it [08:02,  1.74it/s, bound:0 nc: 14 ncall:1.6e+03 eff:35.0% logz-ratio=144.48+/-0.05 dlogz:0.981>0.1]
577it [08:03,  1.71it/s, bound:0 nc:  4 ncall:1.6e+03 eff:35.0% logz-ratio=144.48+/-0.05 dlogz:0.976>0.1]
580it [08:04,  1.91it/s, bound:0 nc:  4 ncall:1.7e+03 eff:35.0% logz-ratio=144.48+/-0.05 dlogz:0.969>0.1]
582it [08:07,  1.43it/s, bound:0 nc: 16 ncall:1.7e+03 eff:34.7% logz-ratio=144.49+/-0.05 dlogz:0.965>0.1]
583it [08:08,  1.19it/s, bound:0 nc:  5 ncall:1.7e+03 eff:34.7% logz-ratio=144.49+/-0.05 dlogz:0.962>0.1]
584it [08:09,  1.14it/s, bound:0 nc:  9 ncall:1.7e+03 eff:34.6% logz-ratio=144.49+/-0.05 dlogz:0.960>0.1]
585it [08:10,  1.03it/s, bound:0 nc:  4 ncall:1.7e+03 eff:34.6% logz-ratio=144.49+/-0.05 dlogz:0.958>0.1]
589it [08:12,  1.18it/s, bound:0 nc: 12 ncall:1.7e+03 eff:34.5% logz-ratio=144.50+/-0.05 dlogz:0.949>0.1]
592it [08:13,  1.42it/s, bound:0 nc:  2 ncall:1.7e+03 eff:34.5% logz-ratio=144.51+/-0.05 dlogz:0.942>0.1]
594it [08:14,  1.52it/s, bound:0 nc:  5 ncall:1.7e+03 eff:34.4% logz-ratio=144.51+/-0.05 dlogz:0.937>0.1]
596it [08:15,  1.60it/s, bound:0 nc: 12 ncall:1.7e+03 eff:34.3% logz-ratio=144.51+/-0.05 dlogz:0.933>0.1]
598it [08:17,  1.65it/s, bound:0 nc:  2 ncall:1.7e+03 eff:34.3% logz-ratio=144.52+/-0.05 dlogz:0.928>0.1]
600it [08:18,  1.71it/s, bound:0 nc:  3 ncall:1.8e+03 eff:34.3% logz-ratio=144.52+/-0.05 dlogz:0.924>0.1]
604it [08:19,  2.05it/s, bound:0 nc:  5 ncall:1.8e+03 eff:34.3% logz-ratio=144.53+/-0.05 dlogz:0.915>0.1]
605it [08:20,  1.50it/s, bound:0 nc:  6 ncall:1.8e+03 eff:34.3% logz-ratio=144.53+/-0.05 dlogz:0.913>0.1]
608it [08:21,  1.72it/s, bound:0 nc: 12 ncall:1.8e+03 eff:34.2% logz-ratio=144.53+/-0.05 dlogz:0.906>0.1]
609it [08:22,  1.37it/s, bound:0 nc:  2 ncall:1.8e+03 eff:34.2% logz-ratio=144.53+/-0.05 dlogz:0.904>0.1]
612it [08:23,  1.65it/s, bound:0 nc:  1 ncall:1.8e+03 eff:34.2% logz-ratio=144.54+/-0.05 dlogz:0.898>0.1]
616it [08:24,  1.94it/s, bound:0 nc:  4 ncall:1.8e+03 eff:34.2% logz-ratio=144.54+/-0.05 dlogz:0.889>0.1]
618it [08:25,  1.91it/s, bound:0 nc:  2 ncall:1.8e+03 eff:34.2% logz-ratio=144.55+/-0.05 dlogz:0.885>0.1]
621it [08:26,  2.11it/s, bound:0 nc:  5 ncall:1.8e+03 eff:34.2% logz-ratio=144.55+/-0.05 dlogz:0.878>0.1]
623it [08:28,  1.96it/s, bound:0 nc:  3 ncall:1.8e+03 eff:34.2% logz-ratio=144.56+/-0.05 dlogz:0.874>0.1]
624it [08:29,  1.39it/s, bound:0 nc: 10 ncall:1.8e+03 eff:34.1% logz-ratio=144.56+/-0.05 dlogz:0.872>0.1]
626it [08:30,  1.52it/s, bound:0 nc:  4 ncall:1.8e+03 eff:34.1% logz-ratio=144.56+/-0.05 dlogz:0.868>0.1]
628it [08:31,  1.60it/s, bound:0 nc:  6 ncall:1.8e+03 eff:34.0% logz-ratio=144.56+/-0.05 dlogz:0.864>0.1]
631it [08:32,  1.81it/s, bound:0 nc:  9 ncall:1.9e+03 eff:34.0% logz-ratio=144.57+/-0.05 dlogz:0.858>0.1]
632it [08:33,  1.38it/s, bound:0 nc:  4 ncall:1.9e+03 eff:33.9% logz-ratio=144.57+/-0.05 dlogz:0.855>0.1]
636it [08:34,  1.71it/s, bound:0 nc:  1 ncall:1.9e+03 eff:34.0% logz-ratio=144.58+/-0.05 dlogz:0.847>0.1]
638it [08:35,  1.72it/s, bound:0 nc:  5 ncall:1.9e+03 eff:33.9% logz-ratio=144.58+/-0.05 dlogz:0.843>0.1]
