frequency,plus,cross
66.5,(1.890134973357872e-23+3.720792500932758e-24j),(-3.708909890991706e-24+1.8841307470442733e-23j)
67.0,(-1.8938401718229652e-23-2.4519489440743424e-24j),(2.444116882399003e-24-1.8878252011262143e-23j)
67.5,(1.8850014532849183e-23+1.2339489686093905e-24j),(-1.2300021019823315e-24+1.8790165556694195e-23j)
68.0,0j,0j
68.5,0j,0j
69.0,0j,0j
69.5,0j,0j
70.0,0j,0j
70.5,0j,0j
71.0,0j,0j
71.5,0j,0j
72.0,0j,0j
72.5,0j,0j
73.0,0j,0j
73.5,0j,0j
74.0,0j,0j
74.5,0j,0j
75.0,0j,0j
75.5,0j,0j
76.0,0j,0j
76.5,0j,0j
77.0,0j,0j
77.5,0j,0j
78.0,0j,0j
78.5,0j,0j
79.0,0j,0j
79.5,0j,0j
80.0,0j,0j
80.5,0j,0j
81.0,0j,0j
81.5,0j,0j
82.0,0j,0j
82.5,0j,0j
83.0,0j,0j
83.5,0j,0j
84.0,0j,0j
84.5,0j,0j
85.0,0j,0j
85.5,0j,0j
86.0,0j,0j
86.5,0j,0j
87.0,0j,0j
87.5,0j,0j
88.0,0j,0j
88.5,0j,0j
89.0,0j,0j
89.5,0j,0j
90.0,0j,0j
90.5,0j,0j
91.0,0j,0j
91.5,0j,0j
92.0,0j,0j
92.5,0j,0j
93.0,0j,0j
93.5,0j,0j
94.0,0j,0j
94.5,0j,0j
95.0,0j,0j
95.5,0j,0j
96.0,0j,0j
96.5,0j,0j
97.0,0j,0j
97.5,0j,0j
98.0,0j,0j
98.5,0j,0j
99.0,0j,0j
99.5,0j,0j
100.0,0j,0j
100.5,0j,0j
101.0,0j,0j
101.5,0j,0j
102.0,0j,0j
102.5,0j,0j
103.0,0j,0j
103.5,0j,0j
104.0,0j,0j
104.5,0j,0j
105.0,0j,0j
105.5,0j,0j
106.0,0j,0j
106.5,0j,0j
107.0,0j,0j
107.5,0j,0j
108.0,0j,0j
108.5,0j,0j
109.0,0j,0j
109.5,0j,0j
110.0,0j,0j
110.5,0j,0j
111.0,0j,0j
111.5,0j,0j
112.0,0j,0j
112.5,0j,0j
113.0,0j,0j
113.5,0j,0j
114.0,0j,0j
114.5,0j,0j
115.0,0j,0j
115.5,0j,0j
116.0,0j,0j
116.5,0j,0j
117.0,0j,0j
117.5,0j,0j
118.0,0j,0j
118.5,0j,0j
119.0,0j,0j
119.5,0j,0j
120.0,0j,0j
120.5,0j,0j
121.0,0j,0j
121.5,0j,0j
122.0,0j,0j
122.5,0j,0j
123.0,0j,0j
123.5,0j,0j
124.0,0j,0j
124.5,0j,0j
125.0,0j,0j
125.5,0j,0j
126.0,0j,0j
126.5,0j,0j
127.0,0j,0j
127.5,0j,0j
128.0,0j,0j
128.5,0j,0j
129.0,0j,0j
129.5,0j,0j
130.0,0j,0j
130.5,0j,0j
131.0,0j,0j
131.5,0j,0j
132.0,0j,0j
132.5,0j,0j
133.0,0j,0j
133.5,0j,0j
134.0,0j,0j
134.5,0j,0j
135.0,0j,0j
135.5,0j,0j
136.0,0j,0j
136.5,0j,0j
137.0,0j,0j
137.5,0j,0j
138.0,0j,0j
138.5,0j,0j
139.0,0j,0j
139.5,0j,0j
140.0,0j,0j
140.5,0j,0j
141.0,0j,0j
141.5,0j,0j
142.0,0j,0j
142.5,0j,0j
143.0,0j,0j
143.5,0j,0j
144.0,0j,0j
144.5,0j,0j
145.0,0j,0j
145.5,0j,0j
146.0,0j,0j
146.5,0j,0j
147.0,0j,0j
147.5,0j,0j
148.0,0j,0j
148.5,0j,0j
149.0,0j,0j
149.5,0j,0j
150.0,0j,0j
150.5,0j,0j
151.0,0j,0j
151.5,0j,0j
152.0,0j,0j
152.5,0j,0j
153.0,0j,0j
153.5,0j,0j
154.0,0j,0j
154.5,0j,0j
155.0,0j,0j
155.5,0j,0j
156.0,0j,0j
156.5,0j,0j
157.0,0j,0j
157.5,0j,0j
158.0,0j,0j
158.5,0j,0j
159.0,0j,0j
159.5,0j,0j
160.0,0j,0j
160.5,0j,0j
161.0,0j,0j
161.5,0j,0j
162.0,0j,0j
162.5,0j,0j
163.0,0j,0j
163.5,0j,0j
164.0,0j,0j
164.5,0j,0j
165.0,0j,0j
165.5,0j,0j
166.0,0j,0j
166.5,0j,0j
167.0,0j,0j
167.5,0j,0j
168.0,0j,0j
168.5,0j,0j
169.0,0j,0j
169.5,0j,0j
170.0,0j,0j
170.5,0j,0j
171.0,0j,0j
171.5,0j,0j
172.0,0j,0j
172.5,0j,0j
173.0,0j,0j
173.5,0j,0j
174.0,0j,0j
174.5,0j,0j
175.0,0j,0j
175.5,0j,0j
176.0,0j,0j
176.5,0j,0j
177.0,0j,0j
177.5,0j,0j
178.0,0j,0j
178.5,0j,0j
179.0,0j,0j
179.5,0j,0j
180.0,0j,0j
180.5,0j,0j
181.0,0j,0j
181.5,0j,0j
182.0,0j,0j
182.5,0j,0j
183.0,0j,0j
183.5,0j,0j
184.0,0j,0j
184.5,0j,0j
185.0,0j,0j
185.5,0j,0j
186.0,0j,0j
186.5,0j,0j
187.0,0j,0j
187.5,0j,0j
188.0,0j,0j
188.5,0j,0j
189.0,0j,0j
189.5,0j,0j
190.0,0j,0j
190.5,0j,0j
191.0,0j,0j
191.5,0j,0j
192.0,0j,0j
192.5,0j,0j
193.0,0j,0j
193.5,0j,0j
194.0,0j,0j
194.5,0j,0j
195.0,0j,0j
195.5,0j,0j
196.0,0j,0j
196.5,0j,0j
197.0,0j,0j
197.5,0j,0j
198.0,0j,0j
198.5,0j,0j
199.0,0j,0j
199.5,0j,0j
200.0,0j,0j
200.5,0j,0j
201.0,0j,0j
201.5,0j,0j
202.0,0j,0j
202.5,0j,0j
203.0,0j,0j
203.5,0j,0j
204.0,0j,0j
204.5,0j,0j
205.0,0j,0j
205.5,0j,0j
206.0,0j,0j
206.5,0j,0j
207.0,0j,0j
207.5,0j,0j
208.0,0j,0j
208.5,0j,0j
209.0,0j,0j
209.5,0j,0j
210.0,0j,0j
210.5,0j,0j
211.0,0j,0j
211.5,0j,0j
212.0,0j,0j
212.5,0j,0j
213.0,0j,0j
213.5,0j,0j
214.0,0j,0j
214.5,0j,0j
215.0,0j,0j
215.5,0j,0j
216.0,0j,0j
216.5,0j,0j
217.0,0j,0j
217.5,0j,0j
218.0,0j,0j
218.5,0j,0j
219.0,0j,0j
219.5,0j,0j
220.0,0j,0j
220.5,0j,0j
221.0,0j,0j
221.5,0j,0j
222.0,0j,0j
222.5,0j,0j
223.0,0j,0j
223.5,0j,0j
224.0,0j,0j
224.5,0j,0j
225.0,0j,0j
225.5,0j,0j
226.0,0j,0j
226.5,0j,0j
227.0,0j,0j
227.5,0j,0j
228.0,0j,0j
228.5,0j,0j
229.0,0j,0j
229.5,0j,0j
230.0,0j,0j
230.5,0j,0j
231.0,0j,0j
231.5,0j,0j
232.0,0j,0j
232.5,0j,0j
233.0,0j,0j
233.5,0j,0j
234.0,0j,0j
234.5,0j,0j
235.0,0j,0j
235.5,0j,0j
236.0,0j,0j
236.5,0j,0j
237.0,0j,0j
237.5,0j,0j
238.0,0j,0j
238.5,0j,0j
239.0,0j,0j
239.5,0j,0j
240.0,0j,0j
240.5,0j,0j
241.0,0j,0j
241.5,0j,0j
242.0,0j,0j
242.5,0j,0j
243.0,0j,0j
243.5,0j,0j
244.0,0j,0j
244.5,0j,0j
245.0,0j,0j
245.5,0j,0j
246.0,0j,0j
246.5,0j,0j
247.0,0j,0j
247.5,0j,0j
248.0,0j,0j
248.5,0j,0j
249.0,0j,0j
249.5,0j,0j
250.0,0j,0j
250.5,0j,0j
251.0,0j,0j
251.5,0j,0j
252.0,0j,0j
252.5,0j,0j
253.0,0j,0j
253.5,0j,0j
254.0,0j,0j
254.5,0j,0j
255.0,0j,0j
255.5,0j,0j
256.0,0j,0j
256.5,0j,0j
257.0,0j,0j
257.5,0j,0j
258.0,0j,0j
258.5,0j,0j
259.0,0j,0j
259.5,0j,0j
260.0,0j,0j
260.5,0j,0j
261.0,0j,0j
261.5,0j,0j
262.0,0j,0j
262.5,0j,0j
263.0,0j,0j
263.5,0j,0j
264.0,0j,0j
264.5,0j,0j
265.0,0j,0j
265.5,0j,0j
266.0,0j,0j
266.5,0j,0j
267.0,0j,0j
267.5,0j,0j
268.0,0j,0j
268.5,0j,0j
269.0,0j,0j
269.5,0j,0j
270.0,0j,0j
270.5,0j,0j
271.0,0j,0j
271.5,0j,0j
272.0,0j,0j
272.5,0j,0j
273.0,0j,0j
273.5,0j,0j
274.0,0j,0j
274.5,0j,0j
275.0,0j,0j
275.5,0j,0j
276.0,0j,0j
276.5,0j,0j
277.0,0j,0j
277.5,0j,0j
278.0,0j,0j
278.5,0j,0j
279.0,0j,0j
279.5,0j,0j
280.0,0j,0j
280.5,0j,0j
281.0,0j,0j
281.5,0j,0j
282.0,0j,0j
282.5,0j,0j
283.0,0j,0j
283.5,0j,0j
284.0,0j,0j
284.5,0j,0j
285.0,0j,0j
285.5,0j,0j
286.0,0j,0j
286.5,0j,0j
287.0,0j,0j
287.5,0j,0j
288.0,0j,0j
288.5,0j,0j
289.0,0j,0j
289.5,0j,0j
290.0,0j,0j
290.5,0j,0j
291.0,0j,0j
291.5,0j,0j
292.0,0j,0j
292.5,0j,0j
293.0,0j,0j
293.5,0j,0j
294.0,0j,0j
294.5,0j,0j
