
0it [00:00, ?it/s]
641it [08:02,  3.56it/s, bound:0 nc: 11 ncall:1.9e+03 eff:34.3% logz-ratio=-14.55+/-0.15 dlogz:179.306>0.1]
643it [08:03,  2.42it/s, bound:0 nc:  8 ncall:1.9e+03 eff:34.2% logz-ratio=-14.00+/-0.14 dlogz:178.758>0.1]
646it [08:04,  2.31it/s, bound:0 nc:  8 ncall:1.9e+03 eff:34.1% logz-ratio=-13.22+/-0.14 dlogz:177.954>0.1]
653it [08:06,  2.73it/s, bound:0 nc:  5 ncall:1.9e+03 eff:34.2% logz-ratio=-11.31+/-0.15 dlogz:176.053>0.1]
659it [08:07,  3.07it/s, bound:0 nc:  2 ncall:1.9e+03 eff:34.2% logz-ratio=-9.56+/-0.15 dlogz:174.380>0.1] 
664it [08:09,  3.20it/s, bound:0 nc:  5 ncall:1.9e+03 eff:34.2% logz-ratio=-8.32+/-0.14 dlogz:172.962>0.1]
666it [08:10,  2.32it/s, bound:0 nc:  3 ncall:2.0e+03 eff:34.0% logz-ratio=-7.86+/-0.14 dlogz:172.532>0.1]
670it [08:12,  2.47it/s, bound:0 nc:  2 ncall:2.0e+03 eff:33.9% logz-ratio=-7.04+/-0.14 dlogz:171.682>0.1]
676it [08:13,  2.80it/s, bound:0 nc:  6 ncall:2.0e+03 eff:34.0% logz-ratio=-4.89+/-0.15 dlogz:169.732>0.1]
679it [08:14,  2.54it/s, bound:0 nc:  6 ncall:2.0e+03 eff:33.8% logz-ratio=-3.84+/-0.15 dlogz:168.607>0.1]
681it [08:16,  2.05it/s, bound:0 nc: 15 ncall:2.0e+03 eff:33.6% logz-ratio=-3.27+/-0.15 dlogz:167.936>0.1]
686it [08:17,  2.35it/s, bound:0 nc:  7 ncall:2.0e+03 eff:33.6% logz-ratio=-1.87+/-0.15 dlogz:166.641>0.1]
