
0it [00:00, ?it/s]
542it [07:02,  2.78it/s, bound:0 nc:  4 ncall:1.5e+03 eff:37.3% logz-ratio=149.20+/-0.05 dlogz:2.975>0.1]
546it [07:03,  3.17it/s, bound:0 nc:  2 ncall:1.5e+03 eff:37.3% logz-ratio=149.21+/-0.05 dlogz:2.959>0.1]
548it [07:03,  2.91it/s, bound:0 nc:  6 ncall:1.5e+03 eff:37.3% logz-ratio=149.21+/-0.05 dlogz:2.951>0.1]
550it [07:04,  2.70it/s, bound:0 nc:  9 ncall:1.5e+03 eff:37.1% logz-ratio=149.22+/-0.05 dlogz:2.943>0.1]
554it [07:05,  3.07it/s, bound:0 nc:  3 ncall:1.5e+03 eff:37.3% logz-ratio=149.22+/-0.05 dlogz:2.927>0.1]
560it [07:06,  3.67it/s, bound:0 nc:  3 ncall:1.5e+03 eff:37.5% logz-ratio=149.24+/-0.05 dlogz:2.903>0.1]
564it [07:08,  3.04it/s, bound:0 nc: 12 ncall:1.5e+03 eff:37.4% logz-ratio=149.25+/-0.05 dlogz:2.888>0.1]
568it [07:09,  3.22it/s, bound:0 nc:  8 ncall:1.5e+03 eff:37.3% logz-ratio=149.26+/-0.05 dlogz:2.872>0.1]
570it [07:10,  2.76it/s, bound:0 nc:  1 ncall:1.5e+03 eff:37.4% logz-ratio=149.26+/-0.05 dlogz:2.863>0.1]
573it [07:11,  2.95it/s, bound:0 nc:  4 ncall:1.5e+03 eff:37.4% logz-ratio=149.27+/-0.05 dlogz:2.851>0.1]
575it [07:12,  2.63it/s, bound:0 nc:  4 ncall:1.5e+03 eff:37.3% logz-ratio=149.27+/-0.05 dlogz:2.843>0.1]
578it [07:13,  2.73it/s, bound:0 nc:  6 ncall:1.5e+03 eff:37.3% logz-ratio=149.28+/-0.05 dlogz:2.831>0.1]
582it [07:14,  3.11it/s, bound:0 nc:  6 ncall:1.6e+03 eff:37.3% logz-ratio=149.29+/-0.05 dlogz:2.815>0.1]
583it [07:14,  2.10it/s, bound:0 nc:  5 ncall:1.6e+03 eff:37.2% logz-ratio=149.29+/-0.05 dlogz:2.811>0.1]
